Entity,QRank
Q5296,4721864130
Q635,107330319
Q866,69160330
Q104214723,62899167
Q9682,62709339
Q1845,54839733
Q30,53801224
Q11571,46912463
Q317521,46449061
Q106582931,45867240
Q373501,40595512
Q80976,39495903
Q4740163,36869872
Q615,34494299
Q362,32699304
Q889,31658971
Q10693,31635236
Q42418,31290615
Q95,30139469
Q68934496,30079410
Q52,29629015
Q355,29335510
Q6279,29226087
Q181278,28953415
Q361,28686344
Q11255,28509898
Q145,26839503
Q936394,26628585
Q8042634,26565288
Q352,26301829
Q15869,25986138
Q668,25871926
Q209330,25731391
Q22686,25687672
Q159,25257140
Q183,25148366
Q81068910,24709094
Q43274,24471410
Q5269211,24193182
Q13580495,24085830
Q397794,24009428
Q9685,23738558
Q60834962,23123150
Q801,23088772
Q148,22981789
Q65980217,22544867
Q17,22533217
Q29647346,22243190
Q10806,22065244
Q2831,21823383
Q142,21733788
Q16148930,21229179
Q131723,21032208
Q153815,20891769
Q9334,20823030
Q5873,20747133
Q586025,20164962
Q486,20164317
Q712280,20134675
Q21534241,20088792
Q23894629,20051055
Q35073,19995732
Q1049511,19948146
Q65768589,19785029
Q642878,19704536
Q280856,19532713
Q18756,19459779
Q907311,19173157
Q55522899,18934710
Q1860,18790786
Q16,18447448
Q24862683,18402622
Q15180,18299884
Q937,18271495
Q10738,18223245
Q408,18184862
Q38111,17950537
Q43416,17834854
Q43,17669883
Q23894626,17622731
Q38,17584520
Q260858,17251718
Q72635834,17235945
Q187447,17126435
Q544,17103497
Q7747,16909350
Q14944179,16903923
Q313381,16889237
Q9439,16867798
Q85748936,16827362
Q94998134,16772357
Q56307503,16696929
Q135622,16677999
Q312556,16648548
Q34436,16648517
Q189489,16601740
Q517,16556447
Q46,16405440
Q29,16091066
Q3884,15986296
Q19317,15941664
Q51213808,15910314
Q284163,15904613
Q10853588,15890205
Q39,15887106
Q29564107,15855749
Q8016,15721564
Q865,15678838
Q13909,15648670
Q146,15481395
Q9671,15469121
Q178275,15434384
Q46896,15341094
Q151892,15304339
Q8216,15245821
Q11975,15229882
Q57317060,15191995
Q216930,15094543
Q1001,15092238
Q75,15081228
Q5389,15073189
Q18656,15028813
Q36215,15019261
Q458,14950981
Q2023710,14816404
Q12560,14785488
Q25173,14758653
Q2,14752987
Q84263196,14693355
Q8337,14671052
Q19848,14652058
Q60,14643519
Q438406,14642081
Q9458,14591699
Q43203,14588783
Q64349029,14587659
Q212,14551765
Q151472,14549179
Q17982,14546511
Q29466808,14543102
Q155,14517104
Q55,14499397
Q1764530,14488948
Q50729731,14442125
Q19877770,14337472
Q762,14279226
Q7186,14256218
Q9673,14224973
Q19837,14208854
Q855,14200852
Q21914464,14110802
Q17714,14089624
Q16397,14037186
Q334,13989863
Q5284,13982242
Q590227,13952182
Q232737,13917936
Q37079,13909532
Q76,13860359
Q36107,13843630
Q5812,13832642
Q186304,13779894
Q884,13738675
Q41421,13737377
Q37175,13730282
Q2915508,13684998
Q8740,13636261
Q63981675,13621590
Q302,13585223
Q36,13546345
Q260023,13538753
Q382035,13529330
Q918,13521747
Q40540,13512135
Q192682,13474475
Q99,13459624
Q23572,13458856
Q3304418,13406462
Q7156,13403484
Q836,13372298
Q8409,13265039
Q36159,13255222
Q20882479,13186428
Q2685,13185429
Q32522,13115427
Q567,13051804
Q1065,13020855
Q161790,12969506
Q283799,12936268
Q21621995,12882682
Q899,12872519
Q1299,12843612
Q432,12843305
Q40715,12802960
Q94,12786054
Q35332,12743831
Q4547,12690426
Q63243883,12645344
Q843,12639560
Q40572,12632714
Q151754,12531427
Q7416,12475567
Q483118,12449245
Q26876,12432169
Q65979734,12430244
Q85808226,12421113
Q9696,12417731
Q1406,12401104
Q303,12396774
Q4616,12358451
Q166177,12346073
Q5162259,12341590
Q9036,12337514
Q2142669,12323824
Q83338,12300816
Q258,12300412
Q4387616,12230047
Q219060,12225482
Q8683,12186902
Q6534,12183754
Q8394,12171952
Q21,12166090
Q19520525,12077963
Q483020,12070145
Q252,12066824
Q9448,12042742
Q34623,12019587
Q213864,12016038
Q28561969,11998020
Q96,11986775
Q794,11955237
Q9616,11942700
Q6223,11938955
Q62604229,11924958
Q49740,11922835
Q234644,11919556
Q692989,11915531
Q482607,11864902
Q79,11835458
Q7174,11792176
Q34,11783573
Q22663,11783238
Q60498064,11777987
Q105429923,11756454
Q462,11733543
Q48938223,11727635
Q142794,11697771
Q1317,11686823
Q15,11679514
Q5372,11669337
Q173399,11668845
Q8396,11645635
Q290,11590715
Q1576873,11570876
Q152316,11552098
Q5186753,11547263
Q2736,11540252
Q192218,11535635
Q169963,11525192
Q2808,11394962
Q41726,11383912
Q166502,11368098
Q11903424,11367716
Q1734,11354009
Q190192,11309093
Q1141479,11302425
Q269412,11287113
Q271534,11274734
Q692,11274093
Q251868,11241472
Q15862,11222230
Q5771590,11219878
Q23215,11217734
Q40026,11206014
Q185654,11199041
Q87719492,11177120
Q5608,11175504
Q2121062,11152378
Q171,11148499
Q2763,11144922
Q8023,11118562
Q63862159,11100981
Q83495,11090920
Q39476,11088994
Q8027,11084976
Q8682,11076638
Q1795024,11063637
Q91,11060168
Q34086,11026239
Q664,11017558
Q56884561,11001534
Q36812,10991797
Q131412,10985717
Q20,10948361
Q20707362,10920389
Q878,10919902
Q5043,10852118
Q26971382,10850364
Q2269,10821592
Q2277,10805464
Q13479982,10804357
Q8398,10797865
Q79784,10797771
Q55632932,10787451
Q220706,10750970
Q49628,10736353
Q5107,10721649
Q31,10650519
Q28967995,10644434
Q84,10610181
Q47500433,10595718
Q15935,10591853
Q223997,10579179
Q7184,10572577
Q2149,10571274
Q55648452,10560266
Q8007,10553490
Q7553,10537297
Q25369,10537113
Q18047903,10535968
Q170572,10524624
Q7207,10524514
Q423,10518455
Q40,10482446
Q851,10481773
Q5582,10473626
Q35657,10465295
Q25207350,10455143
Q4692,10451206
Q7322,10444165
Q232,10427112
Q1203,10423515
Q63985561,10420333
Q36450,10414241
Q80069,10405993
Q19093,10376347
Q23781155,10375770
Q373895,10341603
Q1987589,10341504
Q313316,10336747
Q184,10333934
Q928,10324805
Q1048,10320458
Q53922,10309652
Q151269,10302567
Q8676,10284958
Q6107,10275672
Q102439344,10271892
Q147077,10267185
Q41,10255303
Q165219,10240328
Q96621465,10227454
Q5269483,10224923
Q1079,10223436
Q324670,10214398
Q673,10208243
Q189490,10193225
Q15031,10186600
Q414,10179936
Q38370,10178038
Q18735049,10173204
Q34768,10165475
Q194318,10155680
Q5383,10133075
Q2263,10132005
Q50602,10111560
Q96407897,10074791
Q230014,10073470
Q423289,10069919
Q6186,10064032
Q153330,10056087
Q10633,10051754
Q277633,10050259
Q881,10028176
Q83287,10013906
Q28865,10004397
Q392108,10002391
Q208026,9996284
Q35,9989485
Q22923830,9973170
Q748,9944226
Q17466583,9928738
Q61040213,9926203
Q79031,9917391
Q5588,9909598
Q42786,9908917
Q2579463,9880999
Q17515,9874859
Q42005,9857849
Q405,9831968
Q16927658,9813009
Q525,9795930
Q25056945,9790371
Q54810034,9785735
Q48,9773586
Q254,9772188
Q3626966,9764140
Q61740820,9727918
Q33,9708337
Q3772,9703091
Q178750,9702825
Q189,9697470
Q170645,9694480
Q103578,9679632
Q85987403,9671983
Q230,9662361
Q202765,9652685
Q5066520,9647609
Q29908604,9647317
Q676899,9646241
Q190845,9644251
Q8646,9591732
Q44578,9557585
Q365144,9548020
Q1426,9545957
Q62591281,9543991
Q315271,9537287
Q1770624,9522513
Q231310,9508722
Q65648534,9504620
Q9061,9503698
Q56876444,9492453
Q720,9491331
Q25136249,9483519
Q227,9477281
Q111,9459287
Q10132,9457919
Q312,9451503
Q65980671,9436745
Q375590,9422962
Q255,9408632
Q485508,9405890
Q18233,9404861
Q101252455,9385771
Q19840456,9382020
Q17884,9380927
Q9960,9380582
Q40096,9376613
Q218,9375355
Q213,9342735
Q11750,9342466
Q5593,9328837
Q154920,9325857
Q231999,9323628
Q206921,9320160
Q662,9302948
Q116933,9294386
Q64849968,9292842
Q295498,9289872
Q22100530,9270607
Q2239218,9266977
Q180589,9253885
Q5891,9252333
Q68,9249648
Q15616276,9249146
Q15377916,9240008
Q291,9212715
Q19798734,9208640
Q42869,9203958
Q23891,9192909
Q935,9177680
Q24284363,9176593
Q1924847,9172390
Q1744,9156823
Q2117769,9133277
Q48270,9129495
Q133313,9087511
Q1028,9085070
Q45,9084314
Q1394,9078189
Q7520267,9065069
Q882,9064687
Q5809,9043673
Q79037,9028491
Q193517,9028263
Q165524,9023417
Q488,9017454
Q1000592,9003717
Q36970,8990929
Q11696,8989961
Q8446,8977890
Q12554,8976013
Q90,8964774
Q3526023,8962168
Q178166,8926293
Q15897,8911512
Q7318,8910164
Q58444,8901799
Q902,8888576
Q9268,8884701
Q126599,8871750
Q8401,8869045
Q2904131,8866733
Q36844,8864602
Q22075020,8850259
Q40791,8846090
Q80322391,8844420
Q28,8835880
Q12495,8831162
Q698173,8823336
Q498825,8810031
Q49,8797678
Q2485083,8797268
Q37459,8796951
Q478214,8791470
Q513,8791464
Q21196,8777891
Q38964,8765301
Q233,8752014
Q12418,8748939
Q38685497,8748023
Q83741704,8739901
Q868,8733370
Q731938,8725833
Q37876,8710665
Q188955,8708008
Q185529,8690842
Q243,8677875
Q44437,8669660
Q100361490,8654755
Q833,8650708
Q36949,8647490
Q529207,8641370
Q2395341,8637146
Q11188,8634144
Q9141,8630114
Q1422,8622229
Q155979,8611237
Q221,8599681
Q37587,8591209
Q222,8549971
Q178348,8540005
Q151622,8531212
Q11036,8530146
Q39082126,8524217
Q38433,8515513
Q7742,8512887
Q314492,8503816
Q14116,8500119
Q53911403,8485887
Q27,8483653
Q8539,8483560
Q23559,8477751
Q2766,8473972
Q1316,8473574
Q205707,8471655
Q230004,8467917
Q140,8448033
Q47131,8440393
Q493078,8439645
Q43989,8436320
Q403,8433467
Q869,8432458
Q23760,8422439
Q12897,8416771
Q11459,8408069
Q415178,8406834
Q200355,8401974
Q125106,8401879
Q218148,8393726
Q15702773,8391559
Q202589,8371306
Q229,8355541
Q729,8341618
Q224,8336850
Q47762,8330601
Q47502,8322705
Q1912,8320096
Q30487,8308408
Q505476,8308256
Q13148212,8306856
Q40523,8306397
Q717236,8301974
Q34389,8298896
Q48493,8296153
Q1189,8275918
Q5880,8268799
Q23001951,8267887
Q2599,8254978
Q374273,8247248
Q283,8246561
Q5816,8245905
Q326461,8240494
Q83071,8238425
Q23434,8236014
Q11660,8220401
Q59365764,8220164
Q65,8218448
Q41163,8216740
Q229166,8208572
Q54314,8207279
Q66738105,8201866
Q22,8191892
Q318204,8190521
Q790,8183976
Q7325,8179263
Q1682357,8176896
Q119562,8158501
Q1354843,8158308
Q352159,8155074
Q223,8153633
Q294951,8146963
Q15789,8146604
Q241,8146426
Q9441,8146004
Q1835,8145767
Q4573,8144905
Q49008,8143318
Q65980843,8140782
Q162959,8138391
Q1130849,8131770
Q98270627,8126961
Q106255,8116183
Q48326845,8115252
Q235,8109429
Q43303,8108830
Q8663,8101301
Q696918,8096553
Q808,8090076
Q42101,8088328
Q47447,8068884
Q152239,8066295
Q21882811,8063225
Q409,8049962
Q41112,8042346
Q144,8041389
Q207,8041247
Q56226,8038762
Q8474,8029914
Q20501835,8028931
Q8991894,8027807
Q186327,8024938
Q185140,8014855
Q65932,8006000
Q450675,8005993
Q638,8005356
Q4555537,8000622
Q2122,7995954
Q826,7995534
Q9089,7991277
Q1033,7987894
Q20875,7985849
Q846,7979259
Q47300912,7977788
Q18097962,7970478
Q190214,7962916
Q6216,7957525
Q117970,7946376
Q39444,7942760
Q12501,7920519
Q58039558,7914231
Q38119,7913631
Q18926761,7908856
Q32,7907976
Q11768,7907114
Q80046,7906548
Q49004,7905313
Q52418,7898354
Q564328,7886082
Q5,7885730
Q9617,7871790
Q23685,7870267
Q56434717,7865596
Q231058,7859554
Q57246152,7857547
Q12544,7851051
Q12638,7835590
Q80048,7829818
Q22277803,7825946
Q739,7819866
Q859,7817189
Q1246,7814659
Q7868,7811700
Q7272,7808684
Q649,7804657
Q12214,7799367
Q51415,7797107
Q7942,7796865
Q13417189,7796639
Q12204,7788071
Q17452,7780366
Q6629088,7778482
Q37,7776261
Q164119,7769993
Q40504,7769001
Q2315802,7755373
Q9215,7749709
Q134077,7749263
Q1218,7736901
Q131814,7735064
Q62595383,7718323
Q2005,7710177
Q18388296,7699975
Q704995,7681644
Q208460,7677003
Q399,7676737
Q38799,7674218
Q47365,7672676
Q180825,7669905
Q10520,7643069
Q208219,7641268
Q158957,7635113
Q34201,7634124
Q37628,7623580
Q39760,7617256
Q1968,7606806
Q30599007,7606286
Q19809,7604247
Q44473,7598719
Q61,7581148
Q22907849,7564972
Q9202,7561341
Q27985819,7558678
Q25936414,7552465
Q23,7540534
Q302581,7534690
Q777,7516982
Q130311,7506262
Q12013,7496143
Q4654925,7481765
Q131755,7476027
Q854,7475706
Q4980478,7472843
Q3852623,7459044
Q164038,7454660
Q55614601,7451994
Q125121,7451204
Q16617922,7437263
Q9358,7432526
Q180159,7429978
Q23543,7426302
Q33408623,7420543
Q7542,7417502
Q36301,7417123
Q969725,7408248
Q185828,7398190
Q61448040,7386292
Q16503,7385657
Q24266427,7383032
Q4235,7381162
Q11637,7380398
Q7430,7375209
Q4391858,7374614
Q428,7373887
Q40912,7371958
Q7251,7367187
Q2283,7366146
Q14820885,7363342
Q8877,7361774
Q195719,7361425
Q1124,7361334
Q104215553,7351977
Q76478,7350487
Q169452,7348803
Q873072,7345323
Q3052772,7343382
Q913,7342388
Q79983,7339298
Q718,7339051
Q180627,7338927
Q7148087,7330139
Q656,7328778
Q4470,7325173
Q103939,7321631
Q217,7316808
Q63088790,7310905
Q8124,7302957
Q43708,7294695
Q157068,7292874
Q42759035,7288352
Q28537,7287148
Q23831,7286071
Q34490,7273346
Q307,7270830
Q503706,7267483
Q34012,7263395
Q36767,7258481
Q38076,7256695
Q18604504,7239738
Q80938,7234910
Q47703,7234129
Q220,7234006
Q25191,7230279
Q27123005,7221940
Q103343,7217545
Q11767,7213767
Q18,7210379
Q36704,7209751
Q42229,7209129
Q115,7208915
Q8743,7206873
Q929285,7202247
Q7252,7197023
Q8402,7195265
Q2643,7194738
Q6643448,7194643
Q222134,7194170
Q64145552,7194073
Q175535,7188931
Q34424,7171782
Q39562,7163886
Q5008867,7162983
Q41173,7162348
Q38918,7160607
Q211462,7138072
Q36153,7132737
Q192156,7124048
Q16843706,7121182
Q65929815,7112676
Q295803,7110279
Q51120673,7105874
Q12567,7102015
Q219675,7096836
Q85800564,7092083
Q484523,7088171
Q236,7088125
Q131079,7086927
Q99688807,7083169
Q171758,7074797
Q11982,7074492
Q38994,7071035
Q23010088,7069347
Q12539,7066606
Q106481,7064336
Q489772,7064236
Q8060,7057204
Q44380,7056740
Q4211207,7054019
Q228,7052028
Q219,7050445
Q179515,7046940
Q7181,7037199
Q65272745,7034751
Q208166,7032201
Q41351,7018315
Q2813,7016231
Q13217306,7014398
Q2009573,7008374
Q34660,7001487
Q81520,6993864
Q2680,6990384
Q6096,6989735
Q23006268,6986235
Q15072906,6986018
Q189571,6982064
Q40787,6981567
Q15306031,6980575
Q25714026,6980255
Q172067,6978717
Q13605596,6976929
Q168847,6924863
Q4583,6924344
Q225,6920471
Q20830808,6918262
Q1107,6912976
Q873,6907944
Q9174,6907708
Q81328,6901493
Q1543,6899426
Q11617,6883078
Q18281265,6878021
Q64744044,6870361
Q238,6868419
Q14539,6860205
Q1490,6857205
Q53406553,6854013
Q178995,6852285
Q105549749,6847380
Q265,6843340
Q262,6835116
Q483309,6832602
Q18760,6831442
Q9588,6828752
Q406,6827034
Q12546,6824561
Q313039,6807088
Q13417244,6806049
